X Gaze Data, Y Gaze Data, Time 
830,392,866617
830,391,866622
836,388,866639
842,387,866655
844,386,866671
846,384,866686
848,384,866702
855,385,866718
855,384,866733
857,382,866749
864,374,866764
865,374,866780
873,369,866796
873,370,866811
872,371,866827
872,370,866843
872,368,866858
876,366,866874
877,365,866889
879,365,866890
880,366,866905
880,366,866921
881,366,866936
886,364,866952
894,359,866968
899,356,866983
900,355,866999
907,352,867014
911,353,867030
911,353,867046
913,353,867061
913,354,867077
920,352,867093
922,352,867108
925,351,867124
928,350,867139
932,349,867155
933,348,867171
935,346,867186
937,345,867202
938,344,867218
939,343,867233
946,340,867249
946,340,867264
953,336,867280
954,335,867296
956,333,867311
960,332,867327
962,330,867343
967,327,867358
969,326,867374
969,327,867390
971,326,867405
973,325,867421
975,323,867436
977,322,867452
979,321,867468
989,312,867483
990,312,867499
991,312,867514
995,312,867530
995,312,867546
996,312,867561
1002,307,867577
1005,304,867593
1007,303,867608
1007,303,867624
1012,304,867640
1015,303,867655
1022,298,867671
1025,297,867686
1026,297,867702
1030,298,867718
1035,298,867733
1051,302,867749
1053,300,867765
1055,298,867780
1055,297,867796
1055,296,867812
1057,292,867827
1058,292,867843
1061,292,867858
1058,290,867874
1058,289,867890
1058,282,867905
1059,282,867921
1059,281,867936
1061,280,867952
1064,281,867968
1067,279,867983
1070,278,867999
1074,274,868015
1076,273,868030
1077,272,868046
1079,270,868061
1082,267,868077
1087,265,868093
1092,261,868108
1095,259,868124
1099,259,868140
1099,258,868155
1103,257,868171
1103,256,868187
1104,256,868202
1109,251,868218
1111,249,868233
1113,248,868249
1115,246,868265
1118,245,868280
1122,243,868296
1124,242,868312
1125,242,868327
1128,241,868343
1133,239,868358
1133,239,868374
1134,240,868390
1138,241,868405
1138,241,868421
1143,244,868436
1145,243,868452
1147,239,868468
1153,229,868483
1154,229,868499
1157,227,868515
1158,225,868530
1162,223,868546
1163,222,868562
1165,221,868577
1166,221,868593
1167,223,868608
1173,225,868624
1172,224,868640
1172,224,868655
1174,224,868671
1177,223,868687
1181,222,868702
1187,220,868718
1191,219,868733
1194,217,868749
1196,213,868765
1198,212,868780
1200,211,868796
1200,211,868812
1201,209,868827
1203,206,868843
1206,205,868861
1206,204,868874
1207,205,868890
1220,206,868905
1224,207,868921
1234,208,868937
1240,206,868952
1243,205,868968
1244,203,868983
1244,203,868999
1245,205,869015
1247,211,869030
1247,211,869046
1249,210,869062
1250,209,869077
1252,208,869093
1254,207,869108
1254,206,869109
1256,203,869124
1256,201,869140
1256,201,869155
1255,198,869171
1255,197,869187
1255,192,869202
1255,190,869218
1255,190,869233
1256,194,869249
1255,194,869265
1255,193,869280
1255,194,869296
1255,195,869312
1255,200,869327
1255,200,869343
1253,207,869358
1253,210,869374
1256,212,869390
1258,227,869405
1258,253,869421
1258,258,869437
1258,262,869452
1258,263,869468
1261,271,869483
1264,273,869499
1263,273,869515
1263,276,869530
1261,281,869546
1260,282,869562
1259,282,869577
1258,284,869593
1258,286,869608
1261,292,869624
1262,295,869640
1263,299,869655
1264,306,869671
1264,312,869687
1263,313,869702
1263,317,869718
1263,320,869733
1262,324,869749
1260,325,869765
1259,328,869780
1259,328,869796
1258,330,869812
1257,335,869827
1257,338,869843
1259,341,869859
1259,345,869874
1260,346,869890
1260,345,869905
1262,346,869921
1263,347,869937
1262,348,869952
1262,349,869968
1263,350,869983
1264,353,869999
1263,353,870015
1264,355,870030
1265,356,870046
1264,356,870062
1262,365,870077
1262,368,870093
1263,368,870109
1267,366,870124
1267,367,870140
1266,368,870155
1266,377,870171
1265,381,870187
1265,382,870202
1265,386,870218
1265,388,870220
1265,390,870229
1266,390,870241
1265,391,870256
1266,391,870272
1265,394,870288
1266,397,870303
1268,395,870319
1269,395,870334
1270,398,870350
1269,400,870366
1269,401,870381
1269,402,870397
1268,408,870413
1268,409,870428
1267,410,870444
1267,414,870459
1267,415,870475
1264,420,870491
1262,422,870506
1262,423,870522
1263,424,870538
1263,426,870553
1262,430,870569
1261,431,870584
1259,437,870600
1258,440,870616
1258,443,870631
1256,446,870647
1256,446,870663
1256,451,870678
1257,454,870694
1258,459,870709
1259,462,870725
1260,464,870741
1260,466,870756
1258,472,870772
1258,473,870788
1254,475,870803
1253,476,870819
1255,477,870834
1253,477,870850
1254,478,870866
1254,478,870881
1255,479,870897
1256,486,870913
1256,486,870928
1256,488,870944
1257,489,870959
1255,493,870975
1256,494,870991
1257,494,871006
1257,495,871022
1255,502,871038
1255,503,871053
1256,503,871069
1256,505,871084
1256,507,871100
1257,510,871116
1257,510,871131
1258,512,871147
1259,513,871163
1258,515,871178
1259,517,871194
1259,519,871210
1258,523,871225
1258,529,871241
1263,543,871256
1263,547,871272
1264,549,871288
1263,553,871303
1263,555,871319
1264,563,871335
1263,565,871350
1264,569,871366
1252,581,871381
1251,582,871397
1263,588,871413
1261,589,871428
1257,592,871444
1259,592,871460
1259,592,871475
1254,599,871491
1253,602,871506
1252,602,871522
1248,605,871538
1248,607,871553
1252,607,871569
1264,609,871585
1267,613,871600
1267,613,871616
1266,614,871631
1265,614,871647
1262,615,871663
1262,614,871678
1262,615,871694
1261,615,871710
1262,617,871725
1262,619,871741
1260,624,871756
1259,626,871772
1253,629,871788
1253,631,871803
1253,631,871819
1253,634,871828
1254,634,871843
1255,635,871859
1252,636,871874
1252,639,871875
1253,639,871890
1253,644,871906
1254,649,871921
1254,650,871937
1255,651,871953
1254,655,871968
1254,656,871984
1255,656,872000
1257,657,872015
1257,658,872031
1253,662,872046
1253,668,872062
1250,675,872078
1253,679,872093
1252,680,872109
1252,680,872125
1247,684,872140
1244,687,872156
1248,689,872171
1249,689,872187
1256,691,872203
1257,692,872218
1258,697,872234
1257,698,872249
1258,698,872265
1244,704,872281
1241,706,872296
1237,708,872312
1230,716,872328
1231,724,872343
1230,723,872359
1229,721,872374
1231,725,872390
1232,726,872406
1232,728,872421
1233,730,872437
1237,740,872453
1249,774,872468
1251,777,872484
1253,782,872500
1255,785,872515
1255,785,872531
